delivery_id,order_id,delivery_status,dispatch_date,delivery_date
1,7866,In Transit,2025-02-14,
2,7683,Delivered,2024-05-14,2024-05-20
3,6158,Delivered,2026-04-26,2026-05-05
4,6737,In Transit,2023-07-17,
5,3220,In Transit,2025-02-03,
6,3096,Delivered,2025-01-30,2025-02-08
7,6096,Delivered,2023-11-27,2023-12-01
8,2362,Delivered,2024-10-10,2024-10-15
9,4747,Delivered,2025-10-13,2025-10-18
10,4819,In Transit,2024-01-28,
11,3069,In Transit,2023-01-30,
12,2216,Delivered,2026-06-02,2026-06-08
13,4616,Delivered,2024-03-15,2024-03-18
14,2352,Delivered,2025-07-01,2025-07-07
15,4,Delivered,2024-08-28,2024-09-02
16,4111,Delivered,2025-05-24,2025-05-25
17,9724,Delivered,2024-01-18,2024-01-23
18,6382,Delivered,2024-03-04,2024-03-06
19,5043,Delivered,2023-12-05,2023-12-06
20,660,Delivered,2025-08-27,2025-09-05
21,149,Delivered,2024-07-16,2024-07-17
22,5021,Delivered,2025-02-07,2025-02-12
23,4375,Delivered,2024-09-26,2024-09-28
24,469,Delivered,2024-02-19,2024-02-27
25,7848,In Transit,2024-09-28,
26,2417,Delivered,2025-10-11,2025-10-19
27,5172,In Transit,2023-02-11,
28,8220,Delivered,2025-03-16,2025-03-17
29,1451,Delivered,2024-04-01,2024-04-02
30,1876,Delivered,2023-07-03,2023-07-06
31,3951,Delivered,2026-04-27,2026-04-30
32,8974,Delivered,2025-09-10,2025-09-14
33,5150,In Transit,2025-10-05,
34,9669,Failed,2023-04-04,
35,8847,Delivered,2023-09-30,2023-10-09
36,8929,Delivered,2025-02-21,2025-03-01
37,8032,Delivered,2023-04-23,2023-04-27
38,5102,In Transit,2024-03-15,
39,7678,In Transit,2026-03-22,
40,7854,Delivered,2024-02-04,2024-02-05
41,1698,Delivered,2025-08-14,2025-08-15
42,3870,Delivered,2025-05-01,2025-05-06
43,12,Delivered,2024-06-14,2024-06-24
44,1347,Delivered,2025-05-15,2025-05-19
45,598,Delivered,2025-02-12,2025-02-16
46,6683,Delivered,2024-06-20,2024-06-24
47,4594,Delivered,2024-08-29,2024-09-01
48,6446,Delivered,2026-03-25,2026-04-02
49,4790,Delivered,2023-01-07,2023-01-12
50,7805,Delivered,2024-06-24,2024-07-04
51,4853,Failed,2025-07-29,
52,4191,Delivered,2024-09-18,2024-09-26
53,7607,Delivered,2023-11-19,2023-11-24
54,1382,Delivered,2026-05-12,2026-05-13
55,190,Delivered,2025-08-09,2025-08-14
56,9846,Delivered,2023-07-11,2023-07-12
57,5233,Delivered,2025-05-13,2025-05-14
58,7874,Delivered,2025-12-30,2025-12-31
59,1553,Delivered,2025-01-23,2025-01-24
60,4670,Delivered,2023-04-06,2023-04-14
61,2949,Delivered,2023-07-18,2023-07-21
62,6956,Delivered,2026-02-21,2026-02-22
63,1810,Delivered,2025-11-23,2025-12-02
64,2427,Delivered,2024-03-14,2024-03-17
65,9528,Delivered,2024-02-22,2024-02-29
66,2339,Delivered,2026-04-10,2026-04-19
67,9163,Delivered,2024-02-10,2024-02-18
68,7992,Delayed,2023-10-31,2023-11-02
69,5044,Delivered,2024-02-23,2024-03-03
70,9469,Delivered,2026-03-19,2026-03-26
71,1568,Delivered,2025-04-08,2025-04-15
72,9392,Delivered,2023-12-16,2023-12-20
