order_id,customer_id,employee_id,order_date,order_status
1,1473,146,2025-11-28,Completed
2,781,120,2024-05-02,Cancelled
3,575,175,2024-07-15,Returned
4,1580,139,2024-08-28,Completed
5,80,158,2024-07-15,Completed
6,514,168,2026-05-30,Completed
7,1165,170,2024-10-19,Processing
8,909,119,2023-02-05,Completed
9,76,92,2025-09-10,Processing
10,447,105,2023-04-30,Cancelled
11,567,157,2026-02-03,Returned
12,903,47,2024-06-12,Completed
13,1014,33,2024-04-10,Completed
14,1785,159,2023-04-12,Completed
15,79,48,2025-11-03,Completed
16,86,142,2024-04-11,Returned
17,531,66,2023-02-03,Completed
18,92,154,2024-04-25,Completed
19,1039,114,2023-08-20,Completed
20,418,84,2026-03-14,Processing
21,1395,107,2023-05-27,Completed
22,580,37,2023-02-20,Completed
23,738,86,2025-04-15,Completed
24,1931,76,2026-06-27,Completed
25,92,75,2023-11-04,Completed
26,1248,55,2024-10-03,Completed
27,1520,131,2026-04-05,Cancelled
28,776,150,2023-03-08,Completed
29,781,196,2023-06-10,Returned
30,460,145,2025-10-28,Completed
31,1504,108,2026-01-08,Processing
32,1081,14,2026-05-28,Completed
33,1066,113,2024-10-11,Completed
34,1179,76,2024-05-14,Completed
35,1573,93,2024-04-17,Completed
36,1992,30,2024-05-08,Completed
37,1803,105,2025-01-11,Completed
38,1036,20,2025-01-11,Completed
39,472,115,2025-05-07,Completed
40,1694,33,2026-01-06,Processing
41,835,173,2026-04-12,Completed
42,1630,74,2024-11-30,Completed
43,837,108,2025-10-31,Completed
44,1296,198,2024-02-10,Processing
45,32,43,2023-09-05,Completed
46,1136,183,2025-08-20,Completed
47,70,111,2023-02-19,Returned
48,272,132,2025-12-20,Cancelled
49,726,33,2025-04-03,Completed
50,601,31,2024-11-20,Completed
51,1263,28,2023-04-03,Completed
52,727,115,2025-04-17,Completed
53,1710,112,2024-08-15,Completed
54,1503,47,2026-04-22,Completed
55,1835,2,2026-04-30,Completed
56,1330,117,2025-02-15,Completed
57,1042,185,2026-04-19,Cancelled
58,199,60,2024-08-31,Completed
59,1156,133,2025-12-11,Completed
60,1901,110,2024-08-07,Completed
61,1551,46,2023-10-21,Processing
62,1505,188,2024-03-07,Completed
63,1178,158,2024-10-05,Completed
64,340,31,2024-08-12,Completed
65,459,44,2024-08-13,Returned
66,1544,28,2024-04-19,Completed
67,424,142,2025-11-07,Completed
68,1849,11,2026-01-10,Processing
69,14,126,2023-02-22,Completed
70,1929,147,2025-05-23,Completed
71,1702,117,2024-08-27,Completed
72,1883,31,2025-06-29,Completed
73,178,36,2024-07-24,Returned
74,1646,21,2024-03-31,Completed
75,1039,86,2024-07-19,Completed
76,1051,173,2023-06-01,Processing
77,79,111,2023-07-25,Completed
78,1724,143,2023-03-14,Completed
79,504,36,2026-04-15,Processing
80,451,173,2024-02-05,Completed
81,993,48,2025-10-14,Completed
82,1301,23,2025-11-23,Completed
83,138,126,2026-02-16,Completed
84,365,10,2025-05-06,Completed
85,1293,150,2024-04-25,Completed
86,1087,169,2024-01-04,Processing
87,1793,75,2025-09-20,Processing
88,804,154,2025-01-01,Completed
