payment_id,order_id,payment_method,amount,payment_status,payment_date
1,1,Card,246702.23,Paid,2025-11-28
2,2,Cash on Delivery,325801.21,Paid,2024-05-02
3,3,Mobile Money,9998.84,Paid,2024-07-15
4,4,Cash on Delivery,115761.21,Paid,2024-08-28
5,5,Mobile Money,59785.8,Paid,2024-07-15
6,6,Mobile Money,143623.93,Paid,2026-05-30
7,7,Cash on Delivery,146008.08,Failed,2024-10-19
8,8,Cash on Delivery,505665.9,Paid,2023-02-05
9,9,Bank Transfer,43505.01,Paid,2025-09-10
10,10,Cash on Delivery,344792.34,Paid,2023-04-30
11,11,Bank Transfer,210045.05,Paid,2026-02-03
12,12,Bank Transfer,31506.27,Paid,2024-06-12
13,13,Bank Transfer,196882.4,Paid,2024-04-10
14,14,Mobile Money,101209.62,Paid,2023-04-12
15,15,Card,281996.29,Refunded,2025-11-03
16,16,Bank Transfer,248352.47,Paid,2024-04-11
17,17,Bank Transfer,43333.44,Paid,2023-02-03
18,18,Cash on Delivery,109952.15,Paid,2024-04-25
19,19,Bank Transfer,94676.17,Refunded,2023-08-20
20,20,Mobile Money,454510.19,Pending,2026-03-14
21,21,Bank Transfer,259195.74,Paid,2023-05-27
22,22,Mobile Money,201595.75,Paid,2023-02-20
23,23,Bank Transfer,94866.53,Paid,2025-04-15
24,24,Mobile Money,236594.98,Paid,2026-06-27
25,25,Card,53853.97,Paid,2023-11-04
26,26,Cash on Delivery,660512.38,Paid,2024-10-03
27,27,Card,84031.39,Paid,2026-04-05
28,28,Cash on Delivery,33139.33,Refunded,2023-03-08
29,29,Cash on Delivery,139025.0,Paid,2023-06-10
30,30,Cash on Delivery,53409.58,Paid,2025-10-28
31,31,Card,97610.62,Paid,2026-01-08
32,32,Bank Transfer,183399.63,Paid,2026-05-28
33,33,Cash on Delivery,92976.55,Paid,2024-10-11
34,34,Mobile Money,29618.37,Paid,2024-05-14
35,35,Cash on Delivery,77137.83,Failed,2024-04-17
36,36,Mobile Money,68542.15,Paid,2024-05-08
37,37,Mobile Money,153434.11,Failed,2025-01-11
38,38,Mobile Money,32136.36,Paid,2025-01-11
39,39,Mobile Money,26940.89,Paid,2025-05-07
40,40,Cash on Delivery,67197.51,Paid,2026-01-06
41,41,Mobile Money,174545.06,Paid,2026-04-12
42,42,Cash on Delivery,235301.29,Paid,2024-11-30
43,43,Card,89365.55,Paid,2025-10-31
44,44,Card,366216.62,Paid,2024-02-10
45,45,Mobile Money,296849.37,Paid,2023-09-05
46,46,Bank Transfer,222968.52,Paid,2025-08-20
47,47,Card,157013.02,Paid,2023-02-19
48,48,Mobile Money,171116.17,Paid,2025-12-20
49,49,Bank Transfer,288537.41,Refunded,2025-04-03
50,50,Bank Transfer,208471.39,Paid,2024-11-20
51,51,Bank Transfer,209996.2,Pending,2023-04-03
52,52,Card,205477.83,Paid,2025-04-17
53,53,Cash on Delivery,48572.06,Paid,2024-08-15
54,54,Mobile Money,313729.32,Failed,2026-04-22
55,55,Card,136826.27,Refunded,2026-04-30
56,56,Cash on Delivery,202730.39,Paid,2025-02-15
57,57,Card,41472.83,Paid,2026-04-19
58,58,Card,40529.32,Paid,2024-08-31
59,59,Cash on Delivery,158049.81,Paid,2025-12-11
60,60,Bank Transfer,202876.14,Paid,2024-08-07
61,61,Card,145225.89,Refunded,2023-10-21
62,62,Card,173458.14,Paid,2024-03-07
63,63,Mobile Money,82800.26,Paid,2024-10-05
64,64,Mobile Money,218439.23,Paid,2024-08-12
65,65,Card,200300.42,Paid,2024-08-13
66,66,Card,63447.24,Paid,2024-04-19
67,67,Mobile Money,141798.58,Paid,2025-11-07
68,68,Mobile Money,181491.62,Paid,2026-01-10
69,69,Card,82609.92,Paid,2023-02-22
70,70,Card,12870.26,Paid,2025-05-23
71,71,Bank Transfer,219063.25,Paid,2024-08-27
72,72,Bank Transfer,271052.19,Paid,2025-06-29
73,73,Mobile Money,144708.58,Paid,2024-07-24
74,74,Card,59653.65,Paid,2024-03-31
75,75,Cash on Delivery,295024.35,Paid,2024-07-19
76,76,Bank Transfer,144441.57,Paid,2023-06-01
77,77,Mobile Money,225453.69,Pending,2023-07-25
78,78,Cash on Delivery,260792.74,Paid,2023-03-14
79,79,Card,297852.67,Paid,2026-04-15
80,80,Card,295502.81,Paid,2024-02-05
81,81,Cash on Delivery,52779.82,Paid,2025-10-14
82,82,Cash on Delivery,56292.1,Paid,2025-11-23
83,83,Bank Transfer,265718.1,Paid,2026-02-16
84,84,Cash on Delivery,120021.38,Paid,2025-05-06
85,85,Cash on Delivery,140872.52,Paid,2024-04-25
86,86,Cash on Delivery,72255.72,Refunded,2024-01-04
87,87,Cash on Delivery,118094.13,Paid,2025-09-20
88,88,Bank Transfer,187247.24,Paid,2025-01-01
89,89,Cash on Delivery,187024.32,Paid,2023-08-19
90,90,Mobile Money,388195.07,Paid,2024-05-21
91,91,Card,355854.35,Refunded,2023-08-21
92,92,Mobile Money,122173.15,Paid,2025-09-17
93,93,Cash on Delivery,41707.49,Paid,2023-03-01
94,94,Bank Transfer,239140.32,Paid,2023-05-05
95,95,Cash on Delivery,324792.55,Paid,2024-10-12
96,96,Card,228419.78,Paid,2025-03-27
97,97,Mobile Money,183020.09,Pending,2024-03-24
98,98,Card,206822.78,Paid,2025-07-05
99,99,Cash on Delivery,105694.06,Paid,2026-01-02
100,100,Mobile Money,174726.16,Paid,2026-06-04
101,101,Card,176378.61,Paid,2023-02-13
102,102,Cash on Delivery,49719.3,Paid,2024-12-23
103,103,Cash on Delivery,118452.71,Paid,2024-03-07
104,104,Cash on Delivery,428399.34,Paid,2025-03-21
105,105,Bank Transfer,106199.13,Paid,2024-11-09
106,106,Mobile Money,122361.05,Paid,2023-01-28
107,107,Card,56998.59,Paid,2023-07-29
108,108,Card,394866.07,Paid,2023-11-18
109,109,Mobile Money,364355.71,Paid,2024-05-21
110,110,Cash on Delivery,166314.09,Paid,2025-03-31
111,111,Bank Transfer,41163.44,Paid,2023-06-23
112,112,Mobile Money,488082.23,Paid,2025-04-30
113,113,Bank Transfer,155538.22,Paid,2026-05-23
114,114,Card,243539.56,Refunded,2024-02-02
115,115,Card,14599.3,Paid,2025-05-20
116,116,Card,302564.99,Pending,2025-07-28
117,117,Cash on Delivery,247009.23,Failed,2026-03-26
118,118,Cash on Delivery,383306.0,Paid,2024-03-31
119,119,Card,89753.15,Paid,2025-12-28
120,120,Card,83152.76,Paid,2025-03-17
121,121,Cash on Delivery,123440.5,Paid,2025-07-15
122,122,Bank Transfer,111701.25,Paid,2024-04-20
123,123,Cash on Delivery,207883.02,Paid,2024-09-28
124,124,Card,127466.28,Paid,2023-07-15
125,125,Mobile Money,70206.55,Paid,2026-04-30
126,126,Card,32094.25,Paid,2025-08-27
127,127,Cash on Delivery,98248.51,Failed,2024-04-21
128,128,Card,308773.95,Paid,2024-09-29
129,129,Bank Transfer,206060.85,Paid,2026-03-03
130,130,Cash on Delivery,52197.12,Paid,2024-03-04
131,131,Card,134700.76,Paid,2024-10-03
132,132,Card,204572.83,Paid,2025-09-16
133,133,Bank Transfer,151805.93,Paid,2023-06-16
134,134,Cash on Delivery,224948.69,Paid,2023-09-18
135,135,Mobile Money,183634.44,Paid,2023-12-07
136,136,Cash on Delivery,211540.2,Paid,2023-03-21
