region_id,region_name,country
1,North Judithbury Region,Nigeria
2,East Jill Region,Nigeria
3,New Roberttown Region,Nigeria
4,East Jessetown Region,Nigeria
5,Lake Debra Region,Nigeria
6,Robinsonshire Region,Nigeria
7,Lisatown Region,Nigeria
8,Lake Roberto Region,Nigeria
9,Ericmouth Region,Nigeria
10,North Noahstad Region,Nigeria
11,Cassandraton Region,Ghana
12,Herrerafurt Region,Ghana
13,New Kellystad Region,Ghana
14,Lake Chad Region,Ghana
15,Port Keith Region,Ghana
16,Port Jesseville Region,Ghana
17,Ramirezstad Region,Ghana
18,West Michael Region,Ghana
19,Jacquelineland Region,Ghana
20,New Jessica Region,Ghana
21,South Noah Region,Kenya
22,Lake Mark Region,Kenya
23,East Lydiamouth Region,Kenya
24,Adamsborough Region,Kenya
25,Jasonfort Region,Kenya
26,Wilkersonmouth Region,Kenya
27,West Donald Region,Kenya
28,Juliechester Region,Kenya
29,Coxberg Region,Kenya
30,Daviston Region,Kenya
31,East Courtneychester Region,South Africa
32,South Patrickmouth Region,South Africa
33,Tashatown Region,South Africa
34,Lake Nicoleview Region,South Africa
35,Danielchester Region,South Africa
36,South Aaron Region,South Africa
37,Teresaburgh Region,South Africa
38,Port Colleenhaven Region,South Africa
39,East Nathaniel Region,South Africa
40,New Stephanie Region,South Africa
41,New Mariotown Region,Rwanda
42,West Natashaport Region,Rwanda
43,North John Region,Rwanda
44,North Jessicaland Region,Rwanda
45,East Donna Region,Rwanda
46,West Allison Region,Rwanda
47,Brandtside Region,Rwanda
48,Lake Larry Region,Rwanda
49,Samuelhaven Region,Rwanda
50,Martinezbury Region,Rwanda
